81388,82746.0,84112.0,86011.0,88369.0,90306.0,92840.0,95120.0,97888.0,101806.0,105848.0,109822.0,113595.0,118623.0,125879.0,131007.0
82746,84112.0,86011.0,88369.0,90306.0,92840.0,95120.0,97888.0,101806.0,105848.0,109822.0,113595.0,118623.0,125879.0,131007.0,145225.0
84112,86011.0,88369.0,90306.0,92840.0,95120.0,97888.0,101806.0,105848.0,109822.0,113595.0,118623.0,125879.0,131007.0,145225.0,156120.0
86011,88369.0,90306.0,92840.0,95120.0,97888.0,101806.0,105848.0,109822.0,113595.0,118623.0,125879.0,131007.0,145225.0,156120.0,167507.0
88369,90306.0,92840.0,95120.0,97888.0,101806.0,105848.0,109822.0,113595.0,118623.0,125879.0,131007.0,145225.0,156120.0,167507.0,181653.0
90306,92840.0,95120.0,97888.0,101806.0,105848.0,109822.0,113595.0,118623.0,125879.0,131007.0,145225.0,156120.0,167507.0,181653.0,197150.0
92840,95120.0,97888.0,101806.0,105848.0,109822.0,113595.0,118623.0,125879.0,131007.0,145225.0,156120.0,167507.0,181653.0,197150.0,214873.0
95120,97888.0,101806.0,105848.0,109822.0,113595.0,118623.0,125879.0,131007.0,145225.0,156120.0,167507.0,181653.0,197150.0,214873.0,242632.0
97888,101806.0,105848.0,109822.0,113595.0,118623.0,125879.0,131007.0,145225.0,156120.0,167507.0,181653.0,197150.0,214873.0,242632.0,272264.0
101806,105848.0,109822.0,113595.0,118623.0,125879.0,131007.0,145225.0,156120.0,167507.0,181653.0,197150.0,214873.0,242632.0,272264.0,304580.0
105848,109822.0,113595.0,118623.0,125879.0,131007.0,145225.0,156120.0,167507.0,181653.0,197150.0,214873.0,242632.0,272264.0,304580.0,337022.0
109822,113595.0,118623.0,125879.0,131007.0,145225.0,156120.0,167507.0,181653.0,197150.0,214873.0,242632.0,272264.0,304580.0,337022.0,378301.0
113595,118623.0,125879.0,131007.0,145225.0,156120.0,167507.0,181653.0,197150.0,214873.0,242632.0,272264.0,304580.0,337022.0,378301.0,418295.0
118623,125879.0,131007.0,145225.0,156120.0,167507.0,181653.0,197150.0,214873.0,242632.0,272264.0,304580.0,337022.0,378301.0,418295.0,467817.0
125879,131007.0,145225.0,156120.0,167507.0,181653.0,197150.0,214873.0,242632.0,272264.0,304580.0,337022.0,378301.0,418295.0,467817.0,529722.0
131007,145225.0,156120.0,167507.0,181653.0,197150.0,214873.0,242632.0,272264.0,304580.0,337022.0,378301.0,418295.0,467817.0,529722.0,593764.0
145225,156120.0,167507.0,181653.0,197150.0,214873.0,242632.0,272264.0,304580.0,337022.0,378301.0,418295.0,467817.0,529722.0,593764.0,661174.0
156120,167507.0,181653.0,197150.0,214873.0,242632.0,272264.0,304580.0,337022.0,378301.0,418295.0,467817.0,529722.0,593764.0,661174.0,720291.0
167507,181653.0,197150.0,214873.0,242632.0,272264.0,304580.0,337022.0,378301.0,418295.0,467817.0,529722.0,593764.0,661174.0,720291.0,782816.0
181653,197150.0,214873.0,242632.0,272264.0,304580.0,337022.0,378301.0,418295.0,467817.0,529722.0,593764.0,661174.0,720291.0,782816.0,857608.0
197150,214873.0,242632.0,272264.0,304580.0,337022.0,378301.0,418295.0,467817.0,529722.0,593764.0,661174.0,720291.0,782816.0,857608.0,933010.0
214873,242632.0,272264.0,304580.0,337022.0,378301.0,418295.0,467817.0,529722.0,593764.0,661174.0,720291.0,782816.0,857608.0,933010.0,1013863.0
242632,272264.0,304580.0,337022.0,378301.0,418295.0,467817.0,529722.0,593764.0,661174.0,720291.0,782816.0,857608.0,933010.0,1013863.0,1096324.0
272264,304580.0,337022.0,378301.0,418295.0,467817.0,529722.0,593764.0,661174.0,720291.0,782816.0,857608.0,933010.0,1013863.0,1096324.0,1176436.0
